,Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Is_Weekend,Transaction_Type_Bank_Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New_York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_PW
19363,101.99,58857.88,0,0,12,393.65,2,136,4607.34,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
5139,109.07,86282.88,0,0,11,476.8,2,11,689.9,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
48590,21.4,12224.92,0,0,2,261.24,3,225,2266.32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
22234,92.01,55184.09,0,0,11,423.74,3,68,1349.34,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
736,25.04,23485.32,0,0,3,280.43,1,139,2823.47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2177,7.84,64968.47,0,0,3,132.64,2,171,904.67,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
27803,50.65,7037.21,0,0,7,116.17,3,144,208.41,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
49419,62.95,74559.25,0,0,1,435.13,1,160,2782.67,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
33726,3.18,91967.39,0,0,1,386.53,4,99,4029.99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14463,41.66,35996.1,0,0,3,438.15,3,196,1735.94,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3297,73.06,44848.55,0,1,5,180.8,3,89,1728.34,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
7470,225.34,76773.68,0,0,9,312.54,1,213,4369.98,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41946,149.71,49651.65,0,0,2,54.66,1,235,966.37,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
